date;home_team;away_team;home_score;away_score;city;season;avg_temp_c;min_temp_c;max_temp_c;precipitation_mm;avg_wind_dir_deg;avg_wind_speed_kmh;Gagnant;resultat
07/08/2021;New Zealand;Australia;33;25;Auckland;Winter;12,6;12;15,6;8,9;239;35,8;New Zealand;1
14/08/2021;New Zealand;Australia;57;22;Auckland;Winter;12,7;9;15,4;1,5;255;21,9;New Zealand;1
05/09/2021;Australia;New Zealand;21;38;Perth;Spring;13,7;7,1;21,8;0;75;11,8;New Zealand;0
18/09/2021;Australia;South Africa;30;17;Brisbane;Spring;18,5;13,5;25,2;0;359;12,7;Australia;1
18/09/2021;New Zealand;Argentina;36;13;Brisbane;Spring;18,5;13,5;25,2;0;359;12,7;New Zealand;1
05/11/2021;France;Argentina;29;20;Saint-Denis;Autumn;8,9;6,9;12,3;2,3;331;9,8;France;1
06/11/2021;Italy;New Zealand;9;47;Rome;Autumn;14,2;9,6;19,5;2;57;13,8;New Zealand;0
13/11/2021;Ireland;New Zealand;29;20;Dublin;Autumn;10,9;10,1;12,5;0;250;12;Ireland;1
20/11/2021;France;New Zealand;40;25;Saint-Denis;Autumn;6,8;5,5;9,5;0;121;8,2;France;1
21/11/2021;Ireland;Argentina;53;7;Dublin;Autumn;4,2;1,3;8,7;0;319;19,8;Ireland;1
05/02/2022;Ireland;Wales;29;7;Dublin;Winter;6,7;2,5;9,7;8,4;239;25,2;Ireland;1
07/02/2022;France;Italy;37;10;Saint-Denis;Winter;7,1;3,4;10,8;9,4;280;13,1;France;1
12/02/2022;France;Ireland;30;24;Saint-Denis;Winter;3,5;-1,4;9,5;0;128;6,6;France;1
13/02/2022;Italy;England;0;33;Rome;Winter;10,3;5,5;15,6;0;128;8,6;England;0
28/02/2022;Ireland;Italy;57;6;Dublin;Winter;7,1;7,7;9,9;0,4;241;14,4;Ireland;1
12/03/2022;Italy;Scotland;22;33;Rome;Spring;8,7;5;13;;154;8,9;Scotland;0
19/03/2022;Ireland;Scotland;26;5;Dublin;Spring;9,9;6,4;14,4;0;119;24,6;Ireland;1
20/03/2022;France;England;25;13;Saint-Denis;Spring;7,8;2,3;13,7;0;82;11,3;France;1
02/07/2022;Argentina;Scotland;26;18;San Salvador de Jujuy;Winter;13,6;5,7;22,9;0;203;12,4;Argentina;1
02/07/2022;New Zealand;Ireland;42;19;Auckland;Winter;10,3;8,5;14,8;0,5;224;11,7;New Zealand;1
02/07/2022;South Africa;Wales;32;29;Pretoria;Winter;13,1;2,3;17,9;0;334;8,2;South Africa;1
02/07/2022;Australia;England;30;28;Perth;Winter;12,2;7;19,3;0;66;12,1;Australia;1
09/07/2022;South Africa;Wales;12;13;Bloemfontein;Winter;7,1;-4;19;0;335;6,9;Wales;0
09/07/2022;Australia;England;17;25;Brisbane;Winter;11,2;8,3;19,6;0;258;9,6;England;0
09/07/2022;Argentina;Scotland;6;29;Salta;Winter;15,4;3,6;29;0;304;9,6;Scotland;0
16/07/2022;Australia;England;17;21;Sydney;Winter;12,8;4,9;16,5;0;323;15;England;0
16/07/2022;New Zealand;Ireland;22;32;Wellington;Winter;7,4;4,7;10,6;8,9;187;14,2;Ireland;0
16/07/2022;South Africa;Wales;30;14;Cape Town;Winter;16,8;6;27,7;0;28;9,5;South Africa;1
06/08/2022;Argentina;Australia;26;41;Mendoza;Winter;9,6;5,9;16,8;0,7;183;7,7;Australia;0
13/08/2022;Argentina;Australia;48;17;San Juan;Winter;13,7;2,2;24,6;0;73;5,9;Argentina;1
27/08/2022;New Zealand;Argentina;18;25;Christchurch;Winter;8;1,7;11,4;0,3;231;10,2;Argentina;0
27/08/2022;Australia;South Africa;25;17;Adelaide;Winter;8,8;7,6;13,4;0;39;13,4;Australia;1
03/09/2022;Australia;South Africa;8;24;Sydney;Spring;14,3;10,5;16,6;5,2;170;38,8;South Africa;0
03/09/2022;New Zealand;Argentina;53;3;Hamilton;Spring;14,5;7;18;12,8;344;16,2;New Zealand;1
15/09/2022;Australia;New Zealand;37;39;Melbourne;Spring;12,5;11;15,9;5;14;19;New Zealand;0
17/09/2022;Argentina;South Africa;20;36;Buenos Aires;Spring;18,5;14,9;22,2;0;53;15;South Africa;0
24/09/2022;New Zealand;Australia;40;14;Auckland;Spring;15,3;10,1;17,8;0;217;15;New Zealand;1
05/11/2022;Ireland;South Africa;19;16;Dublin;Autumn;11,1;5;13,8;0,1;201;16,4;Ireland;1
05/11/2022;France;Australia;30;29;Saint-Denis;Autumn;8,1;4,7;11,8;0,2;216;10,5;France;1
12/11/2022;France;South Africa;30;26;Marseille;Autumn;14,6;9,4;20,5;0,2;197;5,4;France;1
12/11/2022;Italy;Australia;28;27;Florence;Autumn;4,8;1,9;7,4;0;58;51,5;Italy;1
19/11/2022;Italy;South Africa;21;63;Genoa;Autumn;13,6;12,2;15,4;0;52;14,2;South Africa;0
19/11/2022;Ireland;Australia;13;10;Dublin;Autumn;5,4;-0,5;9,2;1,7;198;13,7;Ireland;1
05/02/2023;Italy;France;24;29;Rome;Winter;6,6;2;11,6;0;48;11,9;France;0
11/02/2023;Ireland;France;32;19;Dublin;Winter;8,8;7,8;11,2;0;217;9,2;Ireland;1
25/02/2023;Italy;Ireland;20;34;Rome;Winter;15;11,3;17,1;0;180;15,6;Ireland;0
26/02/2023;France;Scotland;32;21;Saint-Denis;Winter;2,4;0,3;6,6;0;39;29,4;France;1
11/03/2023;Italy;Wales;17;29;Rome;Spring;13,5;8,3;18;0;129;6,5;Wales;0
18/03/2023;France;Wales;41;28;Saint-Denis;Spring;12,2;8,3;17;3,3;203;16,8;France;1
18/03/2023;Ireland;England;29;16;Dublin;Spring;8,4;6,4;11,6;1,1;250;17,7;Ireland;1
08/07/2023;South Africa;Australia;43;12;Pretoria;Winter;12;4,7;19,7;0;267;13,2;South Africa;1
08/07/2023;Argentina;New Zealand;12;41;Mendoza;Winter;7,9;0,1;12,9;0;127;9,9;New Zealand;0
15/07/2023;New Zealand;South Africa;35;20;Auckland;Winter;14,3;13;16,1;2,3;245;22,6;New Zealand;1
15/07/2023;Australia;Argentina;31;34;Sydney;Winter;18,7;11,3;24,7;0;329;16,4;Argentina;0
29/07/2023;Australia;New Zealand;7;38;Melbourne;Winter;11,9;10,4;18,3;0;347;19,8;New Zealand;0
05/08/2023;Argentina;South Africa;13;24;Buenos Aires;Winter;13;10;15;1,7;101;16;South Africa;0
05/08/2023;Ireland;Italy;33;17;Dublin;Summer;13;10,4;17,3;36,7;3;23,9;Ireland;1
19/08/2023;Ireland;England;29;10;Dublin;Summer;17,8;15,8;20,7;2,3;200;27,8;Ireland;1
27/08/2023;France;Australia;41;17;Saint-Denis;Summer;16,2;12,3;20,9;0,2;272;12,3;France;1
